"","wavelandCount","wavedashCount","airDodgeCount","neutralWinRatioCount","dashDanceCount","openingsPerKillRatio","rollCount","counterHitRatio","spotDodgeCount","damagePerOpeningRatio","killCount","conversionCount","opponentId","stageId","totalDamage","characterId","inputsPerMinuteRatio"
"334",3,33,1,13,51,4.5,0,0.454545455,3,23.79863697,4,18,19,8,428.3754654,2,429.8275862
"335",2,17,4,1,13,NA,0,NA,0,5,0,1,9,31,5,2,569.8977107
"336",14,24,2,10,28,3.75,2,0.416666667,6,23.35270157,4,15,9,31,350.2905235,2,387.1714492
"337",8,39,3,7,5,3,1,0.555555556,8,27.97249858,4,12,9,31,335.6699829,16,335.0035791
"338",5,24,0,11,63,13,4,0.545454545,3,13.97924042,2,26,12,32,363.4602509,2,373.7736149
"339",28,36,6,22,51,6.5,2,0.166666667,15,18.03499985,4,26,9,31,468.909996,2,429.7010317
"340",0,5,0,2,5,NA,0,0,0,37.1200002,0,3,2,32,111.3600006,20,505.220339
"341",10,21,4,10,37,5.333333333,3,0.545454545,2,14.20750022,3,16,12,8,227.3200035,2,428.1697905
"342",0,57,4,8,2,4.75,3,0.625,2,23.08421045,4,19,19,32,438.5999985,16,325.0196078
"343",2,24,4,14,18,4.5,5,0.444444444,2,21.27222082,4,18,9,8,382.8999748,14,289.5392279
"344",11,36,4,16,27,10.5,6,0.333333333,5,15.03251593,2,21,9,31,315.6828346,14,272.2268557
"345",10,17,4,13,33,4.75,6,0.545454545,3,25.14842144,4,19,2,28,477.8200073,20,417.1795739
"346",15,7,4,1,43,0.25,1,NA,0,3,4,1,19,31,3,20,491.9769674
"347",13,9,3,10,27,3.5,2,0.5,1,30.72214454,4,14,2,8,430.1100235,20,395.2637244
"348",7,17,1,9,31,6.333333333,10,0.642857143,3,27.39315796,3,19,19,28,520.4700012,20,355.4816271
"349",6,35,4,13,21,4.75,8,0.6,5,21.10736927,4,19,9,8,401.0400162,14,279.6229152
"350",13,33,3,10,26,7,7,0.5,3,20.5890423,3,21,9,3,432.3698883,14,244.003321
"351",1,13,2,16,27,7.25,5,0.545454545,2,20.0158623,4,29,19,3,580.4600067,20,402.5322466
"352",8,13,3,15,39,7.666666667,2,0.421052632,5,17.67130396,3,23,0,8,406.439991,20,460.8214514
"353",14,18,4,13,111,6.5,7,0.5,1,15.96230786,4,26,9,32,415.0200043,0,426.8571429
"354",7,18,4,9,74,5.5,3,0.4,1,21.2672733,2,11,9,31,233.9400063,0,416.1316428
"355",3,14,2,14,14,6,2,0.5625,3,21.96755536,4,24,0,2,527.2213287,15,396.2236025
"356",12,6,3,9,65,3,4,0.375,1,27.76666737,4,12,9,3,333.2000084,0,421.3718754
"357",4,18,3,6,36,9.5,3,0.481481481,3,22.04894779,2,19,0,28,418.9300079,20,441.6691684
"358",8,14,0,17,31,6.25,4,0.363636364,3,18.93999969,4,25,9,31,473.4999924,20,455.8016529
"359",9,17,3,20,25,9,5,0.304347826,5,18.69382957,3,27,19,31,504.7333984,20,388.1612091
"360",4,23,2,11,24,6.5,2,0.681818182,0,13.60192255,4,26,20,32,353.6499863,15,407.9475235
"361",0,2,0,2,16,5,0,0.6,0,27.29599915,1,5,20,3,136.4799957,20,397.5903614
"362",9,20,2,10,20,6,5,0.444444444,1,20.80488989,3,18,20,8,374.488018,20,426.558497
"363",4,17,4,6,15,15,4,0.6,0,21.66286723,1,15,12,2,324.9430084,9,323.3420366
"364",14,12,0,22,30,7,3,0.384615385,6,16.298572,4,28,14,31,456.3600159,9,420.5341758
"365",21,25,5,21,16,8.25,2,0.5,10,19.27484778,4,33,14,28,636.0699768,9,361.4017268
"366",14,25,2,0,45,NA,0,NA,0,NA,0,0,9,2,0,0,522.7518428
"367",0,12,6,8,32,7,4,0.846153846,0,15.4052382,3,21,20,8,323.5100021,15,454.8292683
"368",1,14,2,8,24,12,10,0.428571429,0,14.174167,1,12,9,32,170.090004,0,363.4303374
"369",20,16,8,13,16,10.5,2,0.421052632,2,17.43190511,2,21,9,31,366.0700073,19,355.5109214
"370",3,4,0,8,47,10,2,0.2,3,16.675,1,10,2,8,166.75,2,292.8639391
"371",7,19,1,12,64,7.333333333,13,0.473684211,0,17.82181809,3,22,9,3,392.079998,0,419.882276
"372",19,28,5,15,17,9.333333333,1,0.5,4,15.46892902,3,28,9,2,433.1300125,19,326.7381578
"373",1,6,0,6,61,8.5,2,0.523809524,0,13.84882355,2,17,2,2,235.4300003,2,294.4237918
"374",25,24,8,14,16,10,2,0.333333333,0,15.38699989,2,20,2,31,307.7399979,19,334.6576059
"375",5,44,1,7,7,2.75,5,0.8,1,47.00180747,4,11,2,28,517.0198822,14,268.037102
"376",44,39,5,17,30,8.666666667,5,0.45,3,17.47307777,3,26,2,31,454.3000221,19,344.2255786
"377",9,73,3,13,5,4.5,9,0.454545455,2,18.10513751,4,18,2,8,325.8924751,14,284.6364037
"378",2,4,0,4,1,NA,0,0.2,0,27.75,0,5,18,3,138.75,9,205.1413882
"379",7,30,2,14,35,6.25,3,0.55,1,20.1080014,4,25,19,31,502.7000351,9,216.0635481
"380",9,41,3,18,88,6.75,3,0.538461538,3,18.86814852,4,27,7,28,509.4400101,13,378.1029488
"381",0,4,0,3,2,5,0,0.666666667,0,19.32000008,1,5,0,32,96.60000038,15,444.379133
"382",4,37,5,10,37,9,5,0.444444444,1,17.77333366,2,18,9,28,319.9200058,19,403.0268477
"383",8,56,0,14,72,6.25,6,0.411764706,4,17.38040009,4,25,7,3,434.5100021,13,382.6675694
"384",10,45,1,16,41,8.333333333,4,0.391304348,2,17.36554535,3,25,9,31,434.1386337,19,380.8192771
"385",1,4,1,2,3,5,0,0.5,0,18.16600037,1,5,19,8,90.83000183,9,362.5150566
"386",10,7,0,6,20,11,1,0.625,2,14.22999989,1,11,19,31,156.5299988,9,411.670354
"387",3,2,0,1,11,NA,0,0,0,26.18999863,0,1,2,2,26.18999863,2,474.0068104
"388",7,23,6,13,18,5.25,7,0.333333333,2,28.56797718,4,21,19,28,599.9275208,12,396.4767616
"389",6,7,1,8,7,3.25,2,0.5,1,38.21451627,4,13,2,3,496.7887115,12,349.1111701
"390",0,0,1,6,18,5.5,4,0.333333333,3,13.46677087,2,11,19,28,148.1344795,2,385.4895105
"391",4,26,0,12,47,7.666666667,4,0.476190476,5,18.98815255,3,23,7,32,436.7275085,13,343.577118
"392",0,0,1,4,12,NA,1,0.285714286,1,14.4399999,0,6,19,31,86.63999939,2,364.6714106
"393",5,7,0,9,4,8,2,0.518518519,0,20.27833366,3,24,21,31,486.6800079,20,362.7931305
"394",1,29,4,8,4,8.5,4,0.5625,8,20.12257026,2,17,25,31,342.0836945,16,301.7331499
"395",2,42,5,11,10,4.5,2,0.636363636,6,24.20277744,4,18,25,2,435.6499939,16,346.2545455
"396",7,6,3,9,10,7.333333333,2,0.48,1,20.59499983,3,22,21,31,453.0899963,20,388.3536436
"397",2,0,0,2,3,NA,0,0.666666667,2,11.92666753,0,6,25,31,71.56000519,9,384.7948814
"398",4,63,9,17,1,7.75,5,0.722222222,16,16.76483893,4,31,25,8,519.7100067,16,368.0735794
"399",12,20,2,7,5,5.5,4,0.444444444,1,21.45272723,2,11,9,31,235.9799995,25,378.5117057
"400",3,4,0,1,2,NA,0,NA,0,4,0,1,2,31,4,14,252.6876944
"401",4,32,5,8,14,6.333333333,3,0.392857143,1,22.17579008,3,19,25,31,421.3400116,9,348.8268708
"402",0,12,4,6,10,9,1,0.3,2,22.43111165,1,9,25,2,201.8800049,9,390.2642114
"403",0,1,0,3,1,3,0,NA,0,31.31333415,1,3,20,2,93.94000244,9,195.9743824
"404",7,22,1,9,3,3.5,2,0.5,0,33.85213797,4,14,2,8,473.9299316,14,297.172098
"405",4,63,5,10,12,4.25,9,0.636363636,0,37.79351223,4,17,2,28,642.4897079,14,304.832341
"406",0,8,3,9,15,5.666666667,3,0.583333333,2,25.27764713,3,17,0,3,429.7200012,20,295.023225
"407",1,9,1,8,15,5,3,0.7,2,13.31066628,3,15,0,28,199.6599941,20,328.9663006
"408",20,29,2,12,14,8,6,0.545454545,4,22.96000036,3,24,9,31,551.0400085,25,390.3589267
"409",12,9,1,12,1,5.666666667,1,0.357142857,0,26.87494143,3,17,0,31,456.8740044,19,241.662391
"410",3,7,0,11,26,6.333333333,0,0.7,2,15.38421069,3,19,0,8,292.3000031,9,262.604685
"411",3,1,0,4,26,12,2,0.727272727,0,12.42583307,1,12,0,28,149.1099968,9,223.5764236
"412",1,8,3,6,20,2.75,2,0.5,4,23.62909005,4,11,0,2,259.9199905,20,323.2902033
"413",4,5,2,6,24,4.25,1,0.647058824,0,20.41058754,4,17,0,31,346.9799881,9,262.3481781
"414",3,8,2,6,18,3.75,4,0.727272727,1,20.88266602,4,15,0,31,313.2399902,20,274.583635
"415",10,29,2,13,99,6.5,6,0.590909091,1,19.75153938,4,26,2,3,513.5400238,2,405.0184502
"416",14,23,3,12,57,4.5,3,0.428571429,1,22.52833324,4,18,2,8,405.5099983,2,414.4087706
"417",22,28,2,14,162,7.666666667,5,0.533333333,1,17.54086934,3,23,2,31,403.4399948,2,366.9482986
"418",8,38,3,14,99,5.75,3,0.571428571,2,19.09826163,4,23,2,3,439.2600174,2,393.2399011
"419",18,21,0,12,106,3.75,0,0.333333333,3,23.86812922,4,15,2,8,358.0219383,2,420.6442674
"420",9,32,0,16,146,5.25,5,0.357142857,1,20.06380971,4,21,2,32,421.340004,2,406.2269713
"421",6,21,1,11,96,4.75,6,0.533333333,2,18.29000011,4,19,2,2,347.5100021,2,347.4035418
"422",19,23,3,11,111,5,3,0.4,0,31.56268412,3,15,2,31,473.4402618,2,377.8262224
"423",26,18,3,14,118,5.5,5,0.411764706,2,22.82090933,4,22,2,28,502.0600052,2,357.26765
"424",1,2,1,3,16,NA,1,NA,0,9.753332774,0,3,14,28,29.25999832,2,426.8852459
"425",8,16,1,8,14,3.75,2,0.583333333,8,27.3913325,4,15,0,28,410.8699875,20,431.5774766
"426",11,9,0,16,16,4.75,6,0.4,8,25.52631619,4,19,0,8,485.0000076,20,412.9148792
"427",3,5,4,7,8,6.5,0,0.555555556,1,25.93692163,2,13,0,32,337.1799812,12,371.816387
"428",7,16,4,4,27,10,2,0.592592593,1,16.4140007,2,20,19,31,328.280014,9,379.6139275
"429",9,17,8,2,50,NA,3,NA,0,10,0,2,2,31,20,2,598.9476322
"430",1,4,4,6,12,5.333333333,3,0.6,0,25.20972586,3,16,0,8,403.3556137,12,391.2172417
"431",4,11,2,4,21,13,2,0.75,1,14.28769273,1,13,19,8,185.7400055,9,331.1754685
"432",10,24,2,1,26,1,1,NA,1,20,1,1,2,31,20,2,459.7826087
"433",4,17,2,8,35,14,0,0.5,4,14.0671414,1,14,2,31,196.9399796,2,475.5072653
"434",6,22,3,5,31,14,2,0.583333333,1,14.97071402,1,14,2,31,209.5899963,2,419.1905873
"435",10,17,3,9,57,15,7,0.5,2,13.98133291,1,15,2,31,209.7199936,2,488.1016415
"436",4,6,0,0,2,NA,1,NA,1,NA,0,0,2,31,0,2,543.7344398
"437",3,21,0,7,54,4,3,0.571428571,2,21.19625092,4,16,2,32,339.1400146,2,401.8604651
"438",7,30,2,10,60,8,4,0.5,5,19.60000038,2,16,2,31,313.6000061,2,427.1066588
"439",3,17,3,9,40,6.666666667,8,0.5,0,17.47550011,3,20,2,2,349.5100021,2,390.1990812
"440",9,19,1,11,54,4.75,11,0.466666667,3,21.74315884,4,19,0,31,413.120018,20,518.1603508
"441",4,26,2,11,33,4.5,13,0.466666667,1,29.00012122,4,18,0,32,522.002182,20,484.1937094
"442",14,21,3,11,14,4.75,5,0.666666667,0,23.60052611,4,19,2,31,448.409996,19,379.3088828
"443",17,13,3,13,13,7.333333333,10,0.5,1,19.21590909,3,22,2,31,422.75,19,383.4869149
"444",9,14,3,7,29,6.5,2,0.6,3,22.56692182,2,13,2,8,293.3699837,2,445.887539
"445",15,18,0,13,19,4.5,9,0.272727273,1,24.60888841,4,18,0,31,442.9599915,20,464.0837696
"446",18,14,0,12,22,4.5,3,0.428571429,1,24.33254623,4,18,2,31,437.9858322,19,395.1907998
"447",12,10,2,11,22,3.25,4,0.333333333,0,34.76646189,4,13,2,31,451.9640045,19,399.7894737
"448",14,13,2,11,27,3.25,3,1,4,31.60978816,4,13,2,31,410.9272461,19,379.280865
"449",8,24,0,6,27,3.5,1,0.666666667,0,22.88071387,4,14,20,32,320.3299942,3,395.3281706
"450",13,19,1,8,33,6,1,0.533333333,0,21.5236117,3,18,20,2,387.4250107,3,379.0695176
"451",0,0,0,0,1,NA,0,NA,0,NA,0,0,2,31,0,2,203.3898305
"452",22,25,3,9,57,7.5,1,0.666666667,0,15.59733276,2,15,20,31,233.9599915,3,363.6019853
"453",7,11,1,1,9,5,1,0.8,0,21.87999878,1,5,2,31,109.3999939,20,512.6671912
"454",9,41,1,3,105,NA,0,NA,0,17.75999832,0,3,9,31,53.27999496,2,651.6619944
"455",19,12,2,7,33,8.5,3,0.75,0,14.6182352,2,17,20,8,248.5099983,3,350.8459123
"456",11,26,3,3,62,4.5,5,0.75,3,27.35444429,2,9,9,8,246.1899986,2,467.6981221
"457",8,37,4,7,126,5.666666667,14,0.642857143,8,25.18235375,3,17,9,28,428.1000137,2,462.5668449
"458",18,34,2,13,125,4,6,0.333333333,6,26.0562501,4,16,9,31,416.9000015,2,482.2460776
"459",8,44,4,11,98,5.666666667,7,0.461538462,4,17.87470649,3,17,9,2,303.8700104,2,470.3871829
"460",8,52,0,14,4,5.25,25,0.4,4,30.58285014,4,21,9,28,642.2398529,14,261.2072184
"461",2,4,2,1,1,0.25,0,NA,0,8.220000267,4,1,9,8,8.220000267,20,393.8730853
"462",0,1,0,0,0,NA,0,NA,0,NA,0,0,9,31,0,20,117.1922686
"463",2,37,6,11,3,7,9,0.333333333,2,17.37000002,2,14,9,2,243.1800003,14,290.1652242
"464",2,36,5,10,3,6,22,0.666666667,3,27.99943373,3,18,9,32,503.9898071,14,276.4780716
"465",6,48,4,9,2,9,20,0.653846154,2,24.46517577,3,27,9,3,660.5597458,14,269.3654372
"466",12,15,4,7,23,4.5,5,0.476190476,3,24.57166672,4,18,9,8,442.2900009,20,380.476143
"467",2,28,2,17,72,9,6,0.45,1,15.65851791,3,27,9,32,422.7799835,20,374.1645965
"468",0,0,0,0,0,NA,0,NA,0,NA,0,0,9,32,0,14,0
"469",5,51,2,0,66,0,2,NA,0,NA,1,0,9,2,0,14,364.9348452
"470",10,27,2,12,56,5.75,8,0.434782609,1,25.18174014,4,23,9,28,579.1800232,20,362.8239249
"471",6,12,3,8,23,3.5,3,0.4,1,28.44785636,4,14,9,8,398.269989,20,400.6196747
"472",8,46,3,14,23,8.666666667,8,0.666666667,6,16.01115359,3,26,9,31,416.2899933,14,306.2901155
