stats_overall_1_counterHitRatio_ratio,stats_actionCounts_1_wavedashCount,stats_actionCounts_0_wavelandCount,stats_overall_1_openingsPerKill_ratio,stats_overall_0_inputCount,stats_overall_0_openingsPerKill_count,stats_overall_1_totalDamage,stats_actionCounts_0_wavedashCount,stats_overall_1_killCount,stats_actionCounts_1_airDodgeCount,stats_actionCounts_0_airDodgeCount,stats_overall_0_inputsPerMinute_count,stats_overall_1_inputCount,stats_overall_0_neutralWinRatio_count,stats_overall_1_neutralWinRatio_count,stats_actionCounts_0_dashDanceCount,stats_overall_0_openingsPerKill_ratio,stats_actionCounts_0_rollCount,stats_overall_0_counterHitRatio_ratio,stats_actionCounts_0_spotDodgeCount,stats_overall_1_conversionCount,stats_overall_1_beneficialTradeRatio_count,stats_overall_0_damagePerOpening_ratio,stats_overall_1_damagePerOpening_ratio,stats_actionCounts_1_dashDanceCount,stats_overall_0_killCount,stats_overall_0_conversionCount,stats_overall_0_beneficialTradeRatio_count,settings_players_1_characterId,stats_actionCounts_1_wavelandCount,settings_stageId,stats_overall_1_inputsPerMinute_count,stats_overall_0_totalDamage,stats_actionCounts_1_rollCount,stats_actionCounts_1_spotDodgeCount,stats_overall_1_inputsPerMinute_ratio,settings_players_0_characterId,stats_overall_0_inputsPerMinute_ratio,stats_overall_1_openingsPerKill_count,stats_overall_1_inputsPerMinute_total,stats_overall_0_inputsPerMinute_total
0.6,6,1,2,390,6,287.6099968,2,4,4,0,390,491,3,4,8,None,1,0.4,1,8,1,9.931666056,35.9512496,13,0,6,0,9,6,8,491,59.58999634,2,0,381.4415192,20,302.9779888,8,1.287222222,1.287222222
0.615384615,18,16,7.666666667,1910,25,368.859993,59,3,0,1,1910,1412,18,13,23,6.25,4,0.384615385,0,23,2,19.04159973,16.037391,89,4,25,0,0,4,32,1412,476.0399933,11,1,362.0512821,15,489.7435897,23,3.9,3.9
None,12,11,0.75,868,1,51.29999924,41,4,7,7,868,893,1,3,57,None,1,None,0,3,0,7,17.09999975,39,0,1,0,9,23,31,893,7,9,0,467.0637803,20,453.9880866,3,1.911944444,1.911944444
0.5,14,2,4.666666667,895,14,272.0499973,14,3,0,3,895,916,7,7,57,3.5,3,0.5,0,14,1,23.80488641,19.43214267,31,4,14,1,2,9,28,916,333.2684097,1,1,429.5427902,12,419.6951934,14,2.1325,2.1325
0.666666667,53,9,4.75,872,15,422.5499954,26,4,4,2,872,802,10,9,17,None,6,0.333333333,1,19,0,11.72333374,22.23947344,4,0,15,0,14,11,31,802,175.8500061,5,1,307.3124002,0,334.1351783,19,2.609722222,2.609722222
0.666666667,35,7,4.5,945,14,479.4199905,13,4,7,4,945,1069,10,11,31,4.666666667,2,0.333333333,2,18,1,12.80857195,26.63444392,37,3,14,0,2,7,8,1069,179.3200073,0,1,419.4898627,2,370.8306082,18,2.548333333,2.548333333
0,1,0,0.25,91,1,18,0,4,1,1,91,60,0,1,0,0.333333333,1,1,0,1,0,5,18,0,3,1,0,2,1,31,60,5,0,0,190.8127208,2,289.3992933,1,0.314444444,0.314444444
0.428571429,47,1,4,785,10,348.3399811,16,4,1,0,785,694,6,13,10,3.333333333,5,0.571428571,1,16,0,35.02232437,21.77124882,5,3,10,0,14,9,31,694,350.2232437,3,2,286.8427095,20,324.4546498,16,2.419444444,2.419444444
0.4,21,13,4.75,1803,18,359.6449661,58,4,6,2,1803,1411,13,15,15,9,6,0.6,0,19,2,14.23777813,18.92868243,149,2,18,0,0,17,2,1411,256.2800064,1,0,407.4763356,15,520.6802503,19,3.462777778,3.462777778
0.285714286,32,11,6,1408,22,432.9599915,54,4,0,5,1408,1660,12,20,76,7.333333333,8,0.714285714,5,24,0,16.36545493,18.03999964,69,3,22,0,2,19,8,1660,360.0400085,7,1,414.1085164,22,351.24385,24,4.008611111,4.008611111
0.454545455,39,12,4,1094,16,414.5000076,16,4,1,2,1094,1194,10,11,46,5.333333333,2,0.545454545,6,16,0,19.84878266,25.90625048,66,3,16,0,2,5,31,1194,317.5805225,2,4,411.4088821,2,376.9525268,16,2.902222222,2.902222222
0.727272727,14,3,9,1201,18,273.3100052,7,2,3,0,1201,827,15,10,66,4.5,3,0.272727273,1,18,0,22.4638888,15.18388918,1,4,18,0,15,5,32,827,404.3499985,5,0,274.0931688,0,398.0482416,18,3.017222222,3.017222222
0.666666667,50,10,8.5,2330,34,545.0500107,99,4,3,4,2330,2811,28,24,185,11.33333333,8,0.333333333,9,34,2,12.5894121,16.03088267,93,3,34,0,2,62,31,2811,428.0400114,12,6,437.9452114,22,363.006881,34,6.418611111,6.418611111
None,38,6,None,467,3,0,15,0,3,5,467,452,3,0,19,None,0,None,0,0,0,16.15999985,None,24,0,3,0,20,2,31,452,48.47999954,0,1,578.86873,2,598.0789755,0,0.780833333,0.780833333
0.636363636,44,4,5.333333333,1239,22,273.1799984,8,3,6,0,1239,1224,18,9,71,5.5,4,0.363636364,2,16,0,16.49590891,17.0737499,19,4,22,0,2,12,8,1224,362.909996,12,4,403.4425929,0,408.3867424,16,3.033888889,3.033888889
0.470588235,14,8,7.5,999,20,367.6223907,12,2,6,0,999,985,11,7,21,5,3,0.529411765,0,15,0,18.90350037,24.50815938,18,4,20,0,20,3,2,985,378.0700073,6,7,393.0828068,2,398.6697705,15,2.505833333,2.505833333
0.5,15,3,8.333333333,1090,16,447.2699814,12,3,4,0,1090,1125,6,15,28,4,3,0.5,2,25,0,27.58124971,17.89079926,23,4,16,1,20,7,8,1125,441.2999954,4,1,414.2798691,2,401.391162,25,2.715555556,2.715555556
0.5,49,13,9.333333333,2062,29,488.5400085,68,3,7,3,2062,2403,21,20,110,7.25,11,0.5,11,28,1,17.69172432,17.44785745,120,4,29,0,2,17,3,2403,513.0600052,15,2,418.7829791,22,359.3551823,28,5.738055556,5.738055556
0.588235294,5,7,9,1595,29,275.0299892,20,2,3,3,1595,698,21,7,21,7.25,5,0.411764706,6,18,0,18.89137952,15.27944385,5,4,29,1,19,0,31,698,547.8500061,0,0,229.1655267,20,523.6662107,18,3.045833333,3.045833333
None,16,12,None,320,1,13,20,0,2,0,320,285,1,1,13,1,0,None,0,1,0,7,13,15,1,1,0,19,10,31,285,7,0,0,575.7575758,20,646.4646465,1,0.495,0.495
0.541666667,5,6,9,1686,26,445.0899963,17,3,1,0,1686,862,14,13,10,6.5,16,0.458333333,5,27,0,19.29923102,16.48481468,5,4,26,1,19,3,8,862,501.7800064,1,2,262.7603726,20,513.9373412,27,3.280555556,3.280555556
0.384615385,7,7,3.25,977,11,372.4842377,27,4,0,2,977,872,3,8,14,5.5,3,0.615384615,0,13,0,20.51181793,28.65263367,39,2,11,0,20,1,31,872,225.6299973,0,1,400.8683438,9,449.1380411,13,2.175277778,2.175277778
0.6,2,0,3,653,8,269.719986,5,4,0,1,653,530,4,6,9,None,6,0.4,2,12,0,12.84125042,22.4766655,27,0,8,0,0,2,31,530,102.7300034,0,0,368.4820394,0,453.9976825,12,1.438333333,1.438333333
0.666666667,11,2,9,374,9,101.2900009,12,1,2,1,374,493,7,6,13,2.25,1,0.333333333,0,9,0,17.60555596,11.25444455,36,4,9,1,2,5,28,493,158.4500036,3,0,363.3162743,9,275.6192426,9,1.356944444,1.356944444
0.533333333,12,5,12,1769,26,379.4199905,38,2,4,0,1769,1195,19,16,24,6.5,13,0.466666667,8,24,0,22.21807656,15.80916627,4,4,26,0,19,21,28,1195,577.6699905,3,0,290.1854975,20,429.5716695,24,4.118055556,4.118055556
0.571428571,23,7,8,1207,17,297.0099945,13,2,1,2,1207,588,11,8,21,4.25,4,0.428571429,2,16,0,29.15906031,18.56312466,1,4,17,0,19,5,31,588,495.7040253,7,0,223.9526026,20,459.7122302,16,2.625555556,2.625555556
0.555555556,13,8,6.666666667,2006,27,380.7600021,21,3,3,1,2006,844,19,10,25,6.75,6,0.444444444,1,20,0,25.87281743,19.03800011,0,4,27,0,19,12,28,844,698.5660706,14,0,192.7551862,20,458.1361416,20,4.378611111,4.378611111
0.473684211,19,7,4.25,891,21,471.1250076,3,4,1,3,891,1040,11,8,16,7,2,0.526315789,4,17,0,20.63538615,27.71323574,26,3,21,0,25,19,31,1040,433.3431091,6,0,350.4305504,12,300.224635,17,2.967777778,2.967777778
