id,wavelandCount,inputsPerMinuteTotal,inputCount,openingsPerKillCount,wavedashCount,airDodgeCount,inputsPerMinuteCount,neutralWinRatioCount,dashDanceCount,openingsPerKillRatio,rollCount,counterHitRatio,spotDodgeCount,damagePerOpeningRatio,killCount,conversionCount,beneficialTradeRatioCount,opponentId,stageId,totalDamage,characterId,inputsPerMinuteRatio
46,7,2.625555556,1207,17,13,2,1207,11,21,4.25,4,0.428571429,2,29.15906031,4,17,0,19,31,495.7040253,20,459.7122302
47,8,4.378611111,2006,27,21,1,2006,19,25,6.75,6,0.444444444,1,25.87281743,4,27,0,19,28,698.5660706,20,458.1361416
48,7,2.967777778,891,21,3,3,891,11,16,7,2,0.526315789,4,20.63538615,3,21,0,25,31,433.3431091,12,300.224635
49,3,2.5175,1050,10,36,0,1050,7,18,2.5,4,0.375,4,38.52000027,4,10,0,19,31,385.2000027,20,417.0804369
50,7,3.491111111,1094,21,3,2,1094,13,19,5.25,5,0.571428571,4,28.93603407,4,21,0,25,31,607.6567154,12,313.367282
51,5,1.955277778,825,16,10,0,825,12,7,5.333333333,3,0.428571429,1,18.08499885,3,16,1,2,31,289.3599815,20,421.9349339
52,2,3.663888889,1281,23,10,2,1281,14,20,5.75,1,0.5,2,27.51937004,4,23,0,25,2,632.9455109,12,349.6285064
53,8,2.090277778,933,18,17,3,933,15,13,4.5,3,0.214285714,1,23.34111023,4,18,0,2,28,420.1399841,20,446.3521595
54,12,2.098888889,839,17,17,0,839,11,16,5.666666667,0,0.461538462,1,16.60058874,3,17,0,2,8,282.2100086,20,399.7353097
55,10,1.774166667,754,12,14,3,754,5,3,3,1,0.75,0,32.45416768,4,12,0,2,8,389.4500122,20,424.9882574
56,9,3.141111111,1243,26,15,3,1243,14,13,6.5,0,0.458333333,3,21.5592308,4,26,0,2,3,560.5400009,20,395.7198444
57,4,1.456666667,709,14,24,0,709,8,33,3.5,0,0.4,0,22.0228578,4,14,2,2,32,308.3200092,20,486.7276888
58,14,2.432222222,921,15,17,2,921,11,14,3.75,3,0.375,0,29.47533366,4,15,0,2,2,442.1300049,20,378.6660576
59,10,1.913611111,854,17,14,4,854,12,19,4.25,2,0.444444444,0,23.48353038,4,17,1,2,2,399.2200165,20,446.276673
60,10,1.976944444,842,16,10,0,842,10,19,4,2,0.454545455,2,24.09500098,4,16,0,2,31,385.5200157,20,425.9097935
61,3,2.878611111,800,19,19,1,800,9,45,6.333333333,3,0.588235294,1,19.75894752,3,19,0,2,32,375.4200029,9,277.9118016
62,1,2.819166667,763,21,17,3,763,12,57,5.25,1,0.6,1,23.36619023,4,21,0,2,3,490.6899948,9,270.6473544
63,4,1.968055556,524,14,7,2,524,7,22,7,3,0.666666667,1,19.79285703,2,14,0,2,8,277.0999985,9,266.2526464
